2024-08-24 03:48:00 INFO  FonetTask_Step_Defs:40 - demoblaze.com sitesi açıldı
2024-08-24 03:48:00 INFO  FonetTask_Step_Defs:47 - Sayfa doğrulandı
2024-08-24 03:48:15 INFO  FonetTask_Step_Defs:43 - Son sayfa ulaşıldı, daha fazla ürün yok.
2024-08-24 03:48:28 INFO  FonetTask_Step_Defs:64 - Son sayfa ulaşıldı, daha fazla ürün yok.
2024-08-24 03:48:41 INFO  FonetTask_Step_Defs:85 - Son sayfa ulaşıldı, daha fazla ürün yok.
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:106 - Son sayfa ulaşıldı, daha fazla ürün yok.
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:115 - Toplam ürün adeti: 15
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:116 - Phones ürün adeti: 7
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:117 - Laptops ürün adeti: 6
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:118 - Monitors ürün adeti: 2
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:120 - All Products
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: Samsung galaxy s6    | Fiyat: $360
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: Nokia lumia 1520     | Fiyat: $820
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: Nexus 6              | Fiyat: $650
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: Samsung galaxy s7    | Fiyat: $800
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: Iphone 6 32gb        | Fiyat: $790
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: Sony xperia z5       | Fiyat: $320
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: HTC One M9           | Fiyat: $700
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: Sony vaio i5         | Fiyat: $790
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: Sony vaio i7         | Fiyat: $790
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: Apple monitor 24     | Fiyat: $400
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: MacBook air          | Fiyat: $700
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: Dell i7 8gb          | Fiyat: $700
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: 2017 Dell 15.6 Inch  | Fiyat: $700
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: ASUS Full HD         | Fiyat: $230
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:122 - Ürün Adı: MacBook Pro          | Fiyat: $1100
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:124 - Phones
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:126 - Ürün Adı: Samsung galaxy s6    | Fiyat: $360
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:126 - Ürün Adı: Nokia lumia 1520     | Fiyat: $820
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:126 - Ürün Adı: Nexus 6              | Fiyat: $650
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:126 - Ürün Adı: Samsung galaxy s7    | Fiyat: $800
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:126 - Ürün Adı: Iphone 6 32gb        | Fiyat: $790
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:126 - Ürün Adı: Sony xperia z5       | Fiyat: $320
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:126 - Ürün Adı: HTC One M9           | Fiyat: $700
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:128 - Laptops
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:130 - Ürün Adı: Sony vaio i5         | Fiyat: $790
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:130 - Ürün Adı: Sony vaio i7         | Fiyat: $790
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:130 - Ürün Adı: MacBook air          | Fiyat: $700
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:130 - Ürün Adı: Dell i7 8gb          | Fiyat: $700
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:130 - Ürün Adı: 2017 Dell 15.6 Inch  | Fiyat: $700
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:130 - Ürün Adı: MacBook Pro          | Fiyat: $1100
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:132 - Monitors
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:134 - Ürün Adı: Apple monitor 24     | Fiyat: $400
2024-08-24 03:48:53 INFO  FonetTask_Step_Defs:134 - Ürün Adı: ASUS Full HD         | Fiyat: $230
